account_id,customer_id,branch_id,account_number,open_date,current_balance,account_status
ACC-00001,CUS-0002,BRN-002,001234560001,2025-01-02,5841.7,Open
ACC-00002,CUS-0003,BRN-003,001234560002,2025-01-03,6683.4,Open
ACC-00003,CUS-0004,BRN-004,001234560003,2025-01-04,7525.1,Open
ACC-00004,CUS-0005,BRN-005,001234560004,2025-01-05,8366.8,Open
ACC-00005,CUS-0006,BRN-006,001234560005,2025-01-06,9208.5,Open
ACC-00006,CUS-0007,BRN-001,001234560006,2025-01-07,10050.2,Open
ACC-00007,CUS-0008,BRN-002,001234560007,2025-01-08,10891.9,Open
ACC-00008,CUS-0009,BRN-003,001234560008,2025-01-09,11733.6,Open
ACC-00009,CUS-0010,BRN-004,001234560009,2025-01-10,12575.3,Open
ACC-00010,CUS-0011,BRN-005,001234560010,2025-01-11,13417.0,Open
ACC-00011,CUS-0012,BRN-006,001234560011,2025-01-12,14258.7,Dormant
ACC-00012,CUS-0013,BRN-001,001234560012,2025-01-13,15100.4,Open
ACC-00013,CUS-0014,BRN-002,001234560013,2025-01-14,15942.1,Open
ACC-00014,CUS-0015,BRN-003,001234560014,2025-01-15,16783.8,Open
ACC-00015,CUS-0016,BRN-004,001234560015,2025-01-16,17625.5,Open
ACC-00016,CUS-0017,BRN-005,001234560016,2025-01-17,18467.2,Open
ACC-00017,CUS-0018,BRN-006,001234560017,2025-01-18,19308.9,Open
ACC-00018,CUS-0019,BRN-001,001234560018,2025-01-19,20150.6,Open
ACC-00019,CUS-0020,BRN-002,001234560019,2025-01-20,20992.3,Open
ACC-00020,CUS-0021,BRN-003,001234560020,2025-01-21,21834.0,Open
ACC-00021,CUS-0022,BRN-004,001234560021,2025-01-22,22675.7,Open
ACC-00022,CUS-0023,BRN-005,001234560022,2025-01-23,23517.4,Dormant
ACC-00023,CUS-0024,BRN-006,001234560023,2025-01-24,24359.1,Open
ACC-00024,CUS-0025,BRN-001,001234560024,2025-01-25,25200.8,Open
ACC-00025,CUS-0026,BRN-002,001234560025,2025-01-26,26042.5,Open
ACC-00026,CUS-0027,BRN-003,001234560026,2025-01-27,26884.2,Open
ACC-00027,CUS-0028,BRN-004,001234560027,2025-01-28,27725.9,Open
ACC-00028,CUS-0029,BRN-005,001234560028,2025-01-29,28567.6,Open
ACC-00029,CUS-0030,BRN-006,001234560029,2025-01-30,29409.3,Open
ACC-00030,CUS-0031,BRN-001,001234560030,2025-01-31,30251.0,Open
ACC-00031,CUS-0032,BRN-002,001234560031,2025-02-01,31092.7,Open
ACC-00032,CUS-0033,BRN-003,001234560032,2025-02-02,31934.4,Open
ACC-00033,CUS-0034,BRN-004,001234560033,2025-02-03,32776.1,Dormant
ACC-00034,CUS-0035,BRN-005,001234560034,2025-02-04,33617.8,Open
ACC-00035,CUS-0036,BRN-006,001234560035,2025-02-05,34459.5,Open
ACC-00036,CUS-0037,BRN-001,001234560036,2025-02-06,35301.2,Open
ACC-00037,CUS-0038,BRN-002,001234560037,2025-02-07,36142.9,Open
ACC-00038,CUS-0039,BRN-003,001234560038,2025-02-08,36984.6,Open
ACC-00039,CUS-0040,BRN-004,001234560039,2025-02-09,37826.3,Open
ACC-00040,CUS-0041,BRN-005,001234560040,2025-02-10,38668.0,Open
ACC-00041,CUS-0042,BRN-006,001234560041,2025-02-11,39509.7,Open
ACC-00042,CUS-0043,BRN-001,001234560042,2025-02-12,40351.4,Open
ACC-00043,CUS-0044,BRN-002,001234560043,2025-02-13,41193.1,Open
ACC-00044,CUS-0045,BRN-003,001234560044,2025-02-14,42034.8,Dormant
ACC-00045,CUS-0001,BRN-004,001234560045,2025-02-15,42876.5,Open
ACC-00046,CUS-0002,BRN-005,001234560046,2025-02-16,43718.2,Open
ACC-00047,CUS-0003,BRN-006,001234560047,2025-02-17,44559.9,Open
ACC-00048,CUS-0004,BRN-001,001234560048,2025-02-18,45401.6,Open
ACC-00049,CUS-0005,BRN-002,001234560049,2025-02-19,46243.3,Open
ACC-00050,CUS-0006,BRN-003,001234560050,2025-02-20,47085.0,Open
ACC-00051,CUS-0007,BRN-004,001234560051,2025-02-21,47926.7,Open
ACC-00052,CUS-0008,BRN-005,001234560052,2025-02-22,48768.4,Open
ACC-00053,CUS-0009,BRN-006,001234560053,2025-02-23,49610.1,Open
ACC-00054,CUS-0010,BRN-001,001234560054,2025-02-24,50451.8,Open
ACC-00055,CUS-0011,BRN-002,001234560055,2025-02-25,51293.5,Dormant
ACC-00056,CUS-0012,BRN-003,001234560056,2025-02-26,52135.2,Open
ACC-00057,CUS-0013,BRN-004,001234560057,2025-02-27,52976.9,Open
ACC-00058,CUS-0014,BRN-005,001234560058,2025-02-28,53818.6,Open
ACC-00059,CUS-0015,BRN-006,001234560059,2025-03-01,54660.3,Open
ACC-00060,CUS-0016,BRN-001,001234560060,2025-03-02,55502.0,Open
ACC-00061,CUS-0017,BRN-002,001234560061,2025-03-03,56343.7,Open
ACC-00062,CUS-0018,BRN-003,001234560062,2025-03-04,57185.4,Open
ACC-00063,CUS-0019,BRN-004,001234560063,2025-03-05,58027.1,Open
ACC-00064,CUS-0020,BRN-005,001234560064,2025-03-06,58868.8,Open
ACC-00065,CUS-0021,BRN-006,001234560065,2025-03-07,59710.5,Open
ACC-00066,CUS-0022,BRN-001,001234560066,2025-03-08,60552.2,Dormant
ACC-00067,CUS-0023,BRN-002,001234560067,2025-03-09,61393.9,Open
ACC-00068,CUS-0024,BRN-003,001234560068,2025-03-10,62235.6,Open
ACC-00069,CUS-0025,BRN-004,001234560069,2025-03-11,63077.3,Open
ACC-00070,CUS-0026,BRN-005,001234560070,2025-03-12,63919.0,Open
